DATE_DRAW,ALL,OMICRON,RANDOM_ALL,RANDOM_OMICRON,CASES
2021-12-01,2036,36,916,7,74016
2021-12-02,2506,35,1155,10,68085
2021-12-03,2021,38,1184,10,62541
2021-12-04,1520,37,592,10,42491
2021-12-05,511,21,286,4,23104
2021-12-06,2963,58,2060,17,42456
2021-12-07,1977,56,1045,13,69288
2021-12-08,1543,82,1052,37,67156
2021-12-09,2735,73,1224,34,57639
2021-12-10,2166,89,1009,44,51096
2021-12-11,873,47,336,17,34695
2021-12-12,391,24,199,9,15532
2021-12-13,1552,116,991,46,31453
2021-12-14,1544,111,502,27,60125
2021-12-15,548,94,294,37,52301
2021-12-16,1387,87,439,28,47205
2021-12-17,266,49,124,6,41153
2021-12-18,22,4,7,0,28569
2021-12-19,75,10,70,10,12187
2021-12-20,188,9,187,9,26461
2021-12-21,156,7,0,0,47537
2021-12-22,1,0,0,0,39252
2021-12-23,5,5,0,0,25908
